source,sourceOrderId,soldAt,customerName,productName,sku,quantity,itemStatus,unitPrice
ONLINE,ORD-00009,04/12/2026,Natalia,Vestido Isabella,DRSS-ISA6,1,REFUNDED,1900
ONLINE,ORD-00010,09/05/2025,Camila,Tiara Halo,TIA-HAL3,1,REFUNDED,260
ONLINE,ORD-00010,09/05/2025,Camila,Tiara Halo,TIA-HAL7,1,REFUNDED,240
ONLINE,ORD-00010,09/05/2025,Camila,Velo Classic,VEL-CLA7,1,REFUNDED,330
ONLINE,ORD-00011,06/19/2025,Rachel,Vestido Milena,DRSS-MIL7,1,REFUNDED,1150
ONLINE,ORD-00011,06/19/2025,Rachel,Vestido Milena,DRSS-MIL9,1,REFUNDED,1250
ONLINE,ORD-00011,06/19/2025,Rachel,Jacket Pearl,JCK-PRL9,2,REFUNDED,340
ONLINE,ORD-00011,06/19/2025,Rachel,Velo Luna,VEL-LUN9,1,REFUNDED,540
ONLINE,ORD-00012,12/31/2024,Katherine,Vestido Luna,DRSS-LUN8,1,REFUNDED,1550
ONLINE,ORD-00012,12/31/2024,Katherine,Cinturon Pearl,BELT-PRL1,1,REFUNDED,220
ONLINE,ORD-00012,12/31/2024,Katherine,Vestido Grace,DRSS-GRA4,1,REFUNDED,2300
ONLINE,ORD-00013,02/20/2025,Carolina,Vestido Valentina,DRSS-VAL1,1,REFUNDED,2000
ONLINE,ORD-00013,02/20/2025,Carolina,Cinturon Pearl,BELT-PRL6,2,REFUNDED,240
ONLINE,ORD-00014,04/15/2025,Ashley,Bolero Lace,BOL-LAC6,1,REFUNDED,320
ONLINE,ORD-00014,04/15/2025,Ashley,Collar Pearl,COL-PRL5,2,REFUNDED,120
ONLINE,ORD-00015,11/02/2025,Vanessa,Velo Classic,VEL-CLA4,2,REFUNDED,390
ONLINE,ORD-00015,11/02/2025,Vanessa,Vestido Emilia,DRSS-EMI4,1,REFUNDED,1650
ONLINE,ORD-00015,11/02/2025,Vanessa,Vestido Emilia,DRSS-EMI8,1,REFUNDED,1850
ONLINE,ORD-00015,11/02/2025,Vanessa,Vestido Sofia,DRSS-SOF1,1,REFUNDED,1550
ONLINE,ORD-00016,02/23/2026,Paola,Cinturon Crystal,BELT-CRY4,2,REFUNDED,160
ONLINE,ORD-00016,02/23/2026,Paola,Tiara Halo,TIA-HAL7,3,REFUNDED,260
ONLINE,ORD-00016,02/23/2026,Paola,Vestido Sofia,DRSS-SOF5,1,REFUNDED,1600
ONLINE,ORD-00017,01/15/2026,Jessica,Velo Aurora,VEL-AUR7,1,CANCELLED,490
ONLINE,ORD-00018,09/14/2024,Laura,Vestido Emilia,DRSS-EMI7,1,CANCELLED,1850
ONLINE,ORD-00018,09/14/2024,Laura,Vestido Aurora,DRSS-AUR7,1,CANCELLED,1300
ONLINE,ORD-00019,12/16/2024,Hannah,Vestido Luna,DRSS-LUN5,1,CANCELLED,1600
ONLINE,ORD-00019,12/16/2024,Hannah,Tiara Halo,TIA-HAL4,2,CANCELLED,200
ONLINE,ORD-00020,04/28/2025,Vanessa,Vestido Luna,DRSS-LUN3,1,CANCELLED,1550
ONLINE,ORD-00021,04/20/2026,Camila,Vestido Valentina,DRSS-VAL2,1,CANCELLED,2200
ONLINE,ORD-00021,04/20/2026,Camila,Vestido Aurora,DRSS-AUR7,1,CANCELLED,1450
ONLINE,ORD-00022,02/20/2024,Natalia,Vestido Milena,DRSS-MIL4,1,CANCELLED,1300
ONLINE,ORD-00022,02/20/2024,Natalia,Velo Luna,VEL-LUN8,3,CANCELLED,540
ONLINE,ORD-00022,02/20/2024,Natalia,Vestido Sofia,DRSS-SOF3,1,CANCELLED,1600
ONLINE,ORD-00022,02/20/2024,Natalia,Anillo Halo,RNG-HAL6,1,CANCELLED,50
ONLINE,ORD-00023,07/02/2024,Mia,Vestido Valentina,DRSS-VAL6,1,CANCELLED,2000
ONLINE,ORD-00023,07/02/2024,Mia,Vestido Luna,DRSS-LUN7,1,CANCELLED,1650
ONLINE,ORD-00024,08/23/2025,Isabella,Velo Classic,VEL-CLA4,2,CANCELLED,330
ONLINE,ORD-00024,08/23/2025,Isabella,Vestido Sofia,DRSS-SOF6,1,CANCELLED,1600
ONLINE,ORD-00025,03/31/2024,Mia,Velo Classic,VEL-CLA4,1,PENDING,350
ONLINE,ORD-00025,03/31/2024,Mia,Cinturon Crystal,BELT-CRY2,1,PENDING,180
ONLINE,ORD-00025,03/31/2024,Mia,Vestido Isabella,DRSS-ISA6,1,PENDING,1700
ONLINE,ORD-00026,08/17/2024,Rachel,Vestido Emilia,DRSS-EMI7,1,PENDING,1700
ONLINE,ORD-00026,08/17/2024,Rachel,Vestido Bella,DRSS-BEL6,1,PENDING,1550
ONLINE,ORD-00026,08/17/2024,Rachel,Vestido Luna,DRSS-LUN8,1,PENDING,1500
ONLINE,ORD-00027,05/22/2025,Carolina,Jacket Pearl,JCK-PRL7,3,PENDING,360
ONLINE,ORD-00027,05/22/2025,Carolina,Cinturon Crystal,BELT-CRY8,3,PENDING,200
ONLINE,ORD-00028,07/29/2024,Vanessa,Aretes Pearl,EAR-PRL2,1,PENDING,115
ONLINE,ORD-00028,07/29/2024,Vanessa,Vestido Grace,DRSS-GRA9,1,PENDING,2200
ONLINE,ORD-00029,01/22/2024,Lucia,Aretes Pearl,EAR-PRL1,1,PENDING,75
ONLINE,ORD-00030,07/17/2024,Gabriela,Guantes Satin,GLV-SAT4,2,PENDING,115
ONLINE,ORD-00030,07/17/2024,Gabriela,Guantes Satin,GLV-SAT4,2,PENDING,115
ONLINE,ORD-00030,07/17/2024,Gabriela,Anillo Halo,RNG-HAL7,1,PENDING,30
ONLINE,ORD-00031,08/22/2024,Gabriela,Tiara Pearl,TIA-PRL3,1,PENDING,250
ONLINE,ORD-00032,01/08/2024,Camila,Velo Pearl,VEL-PRL3,2,PENDING,600
ONLINE,ORD-00032,01/08/2024,Camila,Bolero Lace,BOL-LAC9,3,PENDING,300
ONLINE,ORD-00032,01/08/2024,Camila,Vestido Camila,DRSS-CAM1,1,PENDING,1950
ONLINE,ORD-00033,07/09/2025,Amanda,Vestido Valentina,DRSS-VAL2,1,PAID,2000
ONLINE,ORD-00033,07/09/2025,Amanda,Tiara Pearl,TIA-PRL7,1,REFUNDED,250
ONLINE,ORD-00033,07/09/2025,Amanda,Anillo Halo,RNG-HAL2,1,PAID,50
ONLINE,ORD-00034,01/05/2024,Elena,Tiara Halo,TIA-HAL8,1,REFUNDED,200
ONLINE,ORD-00034,01/05/2024,Elena,Guantes Satin,GLV-SAT9,1,REFUNDED,55
ONLINE,ORD-00034,01/05/2024,Elena,Bolero Lace,BOL-LAC2,3,PAID,260
ONLINE,ORD-00034,01/05/2024,Elena,Collar Luna,COL-LUN4,2,PAID,120
ONLINE,ORD-00035,02/11/2024,Carolina,Aretes Pearl,EAR-PRL6,1,REFUNDED,115
ONLINE,ORD-00035,02/11/2024,Carolina,Cinturon Crystal,BELT-CRY9,2,PAID,160
ONLINE,ORD-00036,02/10/2024,Gabriela,Jacket Pearl,JCK-PRL5,1,REFUNDED,360
ONLINE,ORD-00036,02/10/2024,Gabriela,Tiara Pearl,TIA-PRL2,2,PAID,230
ONLINE,ORD-00037,09/16/2024,Chloe,Vestido Luna,DRSS-LUN5,1,PAID,1500
ONLINE,ORD-00037,09/16/2024,Chloe,Vestido Valentina,DRSS-VAL8,1,REFUNDED,2100
ONLINE,ORD-00037,09/16/2024,Chloe,Aretes Crystal,EAR-CRY7,2,PAID,65
ONLINE,ORD-00037,09/16/2024,Chloe,Guantes Satin,GLV-SAT7,3,REFUNDED,95
ONLINE,ORD-00038,09/30/2025,Emma,Vestido Isabella,DRSS-ISA8,1,CANCELLED,1700
ONLINE,ORD-00038,09/30/2025,Emma,Velo Pearl,VEL-PRL7,2,PAID,580
ONLINE,ORD-00039,06/12/2025,Amanda,Velo Luna,VEL-LUN4,1,CANCELLED,500
ONLINE,ORD-00039,06/12/2025,Amanda,Jacket Pearl,JCK-PRL5,1,CANCELLED,300
ONLINE,ORD-00039,06/12/2025,Amanda,Aretes Pearl,EAR-PRL6,3,PAID,75
ONLINE,ORD-00039,06/12/2025,Amanda,Vestido Isabella,DRSS-ISA7,1,PAID,1900
ONLINE,ORD-00040,10/12/2024,Laura,Vestido Valentina,DRSS-VAL9,1,PAID,2100
ONLINE,ORD-00040,10/12/2024,Laura,Velo Luna,VEL-LUN4,2,PAID,480
ONLINE,ORD-00040,10/12/2024,Laura,Velo Classic,VEL-CLA7,2,CANCELLED,350
ONLINE,ORD-00040,10/12/2024,Laura,Guantes Satin,GLV-SAT3,2,CANCELLED,75
ONLINE,ORD-00041,06/27/2024,Vanessa,Vestido Aurora,DRSS-AUR1,1,PAID,1350
ONLINE,ORD-00041,06/27/2024,Vanessa,Vestido Valentina,DRSS-VAL3,1,PAID,2000
ONLINE,ORD-00041,06/27/2024,Vanessa,Cinturon Crystal,BELT-CRY9,1,CANCELLED,180
ONLINE,ORD-00041,06/27/2024,Vanessa,Vestido Bella,DRSS-BEL3,1,PAID,1550
ONLINE,ORD-00041,06/27/2024,Vanessa,Vestido Grace,DRSS-GRA4,1,CANCELLED,2300
ONLINE,ORD-00042,07/09/2024,Zoe,Cinturon Crystal,BELT-CRY3,2,CANCELLED,180
ONLINE,ORD-00042,07/09/2024,Zoe,Tiara Pearl,TIA-PRL2,3,PAID,290
ONLINE,ORD-00043,11/27/2024,Victoria,Vestido Milena,DRSS-MIL1,1,PAID,1250
ONLINE,ORD-00043,11/27/2024,Victoria,Collar Pearl,COL-PRL2,2,PENDING,180
ONLINE,ORD-00044,11/14/2024,Victoria,Collar Luna,COL-LUN1,1,PENDING,80
ONLINE,ORD-00044,11/14/2024,Victoria,Anillo Halo,RNG-HAL5,2,PENDING,30
ONLINE,ORD-00044,11/14/2024,Victoria,Vestido Camila,DRSS-CAM1,1,PAID,1900
ONLINE,ORD-00044,11/14/2024,Victoria,Velo Pearl,VEL-PRL6,2,PAID,620
ONLINE,ORD-00045,01/14/2026,Maria,Vestido Camila,DRSS-CAM3,1,PAID,2000
ONLINE,ORD-00045,01/14/2026,Maria,Vestido Emilia,DRSS-EMI6,1,PENDING,1800
ONLINE,ORD-00046,06/04/2024,Olivia,Cinturon Pearl,BELT-PRL2,1,PENDING,180
ONLINE,ORD-00046,06/04/2024,Olivia,Vestido Isabella,DRSS-ISA4,1,PAID,1750
ONLINE,ORD-00047,10/01/2025,Sarah,Vestido Sofia,DRSS-SOF7,1,PAID,1400
ONLINE,ORD-00047,10/01/2025,Sarah,Guantes Satin,GLV-SAT6,1,PAID,95
ONLINE,ORD-00047,10/01/2025,Sarah,Vestido Aurora,DRSS-AUR6,1,PENDING,1300
ONLINE,ORD-00047,10/01/2025,Sarah,Bolero Lace,BOL-LAC5,1,PENDING,260
ONLINE,ORD-00047,10/01/2025,Sarah,Aretes Pearl,EAR-PRL9,2,PAID,115
ONLINE,ORD-00048,07/04/2025,Amanda,Bolero Lace,BOL-LAC9,2,CANCELLED,260
ONLINE,ORD-00048,07/04/2025,Amanda,Velo Classic,VEL-CLA3,3,CANCELLED,370
ONLINE,ORD-00048,07/04/2025,Amanda,Cinturon Crystal,BELT-CRY3,2,REFUNDED,160
ONLINE,ORD-00049,04/04/2025,Lucia,Aretes Pearl,EAR-PRL2,1,CANCELLED,75
ONLINE,ORD-00049,04/04/2025,Lucia,Velo Pearl,VEL-PRL2,2,CANCELLED,640
ONLINE,ORD-00049,04/04/2025,Lucia,Bolero Lace,BOL-LAC4,3,REFUNDED,300
ONLINE,ORD-00049,04/04/2025,Lucia,Velo Pearl,VEL-PRL7,3,CANCELLED,580
ONLINE,ORD-00049,04/04/2025,Lucia,Velo Pearl,VEL-PRL3,1,REFUNDED,600
ONLINE,ORD-00050,03/14/2024,Vanessa,Bolero Lace,BOL-LAC7,3,CANCELLED,300
ONLINE,ORD-00050,03/14/2024,Vanessa,Velo Aurora,VEL-AUR1,1,REFUNDED,470
ONLINE,ORD-00051,04/15/2026,Megan,Vestido Sofia,DRSS-SOF4,1,CANCELLED,1400
ONLINE,ORD-00051,04/15/2026,Megan,Vestido Camila,DRSS-CAM8,1,REFUNDED,1900
ONLINE,ORD-00051,04/15/2026,Megan,Collar Pearl,COL-PRL8,2,REFUNDED,140
ONLINE,ORD-00052,02/08/2024,Ariana,Tiara Pearl,TIA-PRL4,2,REFUNDED,270
ONLINE,ORD-00052,02/08/2024,Ariana,Vestido Milena,DRSS-MIL2,1,CANCELLED,1300
ONLINE,ORD-00052,02/08/2024,Ariana,Vestido Bella,DRSS-BEL7,1,CANCELLED,1400
ONLINE,ORD-00052,02/08/2024,Ariana,Velo Aurora,VEL-AUR2,1,CANCELLED,470
ONLINE,ORD-00052,02/08/2024,Ariana,Aretes Crystal,EAR-CRY8,1,REFUNDED,125
ONLINE,ORD-00053,02/17/2025,Lily,Velo Luna,VEL-LUN4,1,REFUNDED,520
ONLINE,ORD-00053,02/17/2025,Lily,Vestido Camila,DRSS-CAM1,1,REFUNDED,1900
ONLINE,ORD-00053,02/17/2025,Lily,Vestido Grace,DRSS-GRA9,1,PENDING,2200
ONLINE,ORD-00053,02/17/2025,Lily,Aretes Pearl,EAR-PRL6,1,PENDING,135
ONLINE,ORD-00053,02/17/2025,Lily,Collar Pearl,COL-PRL4,1,REFUNDED,160
ONLINE,ORD-00054,08/25/2024,Laura,Vestido Isabella,DRSS-ISA2,1,REFUNDED,1700
ONLINE,ORD-00054,08/25/2024,Laura,Bolero Lace,BOL-LAC7,1,PENDING,320
ONLINE,ORD-00054,08/25/2024,Laura,Cinturon Crystal,BELT-CRY6,3,REFUNDED,180
ONLINE,ORD-00054,08/25/2024,Laura,Vestido Milena,DRSS-MIL8,1,PENDING,1250
ONLINE,ORD-00054,08/25/2024,Laura,Velo Pearl,VEL-PRL2,1,PENDING,640
ONLINE,ORD-00055,10/31/2025,Andrea,Guantes Satin,GLV-SAT2,3,REFUNDED,115
ONLINE,ORD-00055,10/31/2025,Andrea,Velo Luna,VEL-LUN7,3,PENDING,540
ONLINE,ORD-00055,10/31/2025,Andrea,Vestido Isabella,DRSS-ISA3,1,REFUNDED,1750
ONLINE,ORD-00055,10/31/2025,Andrea,Anillo Halo,RNG-HAL1,2,PENDING,90
ONLINE,ORD-00056,08/06/2025,Lily,Guantes Satin,GLV-SAT3,3,PENDING,115
ONLINE,ORD-00056,08/06/2025,Lily,Velo Aurora,VEL-AUR6,1,REFUNDED,430
ONLINE,ORD-00056,08/06/2025,Lily,Tiara Halo,TIA-HAL5,1,PENDING,200
ONLINE,ORD-00056,08/06/2025,Lily,Vestido Luna,DRSS-LUN9,1,REFUNDED,1500
ONLINE,ORD-00056,08/06/2025,Lily,Vestido Aurora,DRSS-AUR8,1,PENDING,1300
ONLINE,ORD-00057,09/18/2025,Mia,Cinturon Crystal,BELT-CRY6,3,PENDING,200
ONLINE,ORD-00057,09/18/2025,Mia,Vestido Emilia,DRSS-EMI4,1,REFUNDED,1750
ONLINE,ORD-00057,09/18/2025,Mia,Vestido Aurora,DRSS-AUR6,1,PENDING,1300
ONLINE,ORD-00057,09/18/2025,Mia,Velo Classic,VEL-CLA7,1,REFUNDED,350
ONLINE,ORD-00058,02/13/2026,Sofia,Anillo Halo,RNG-HAL4,1,CANCELLED,30
ONLINE,ORD-00058,02/13/2026,Sofia,Vestido Sofia,DRSS-SOF4,1,PENDING,1450
ONLINE,ORD-00058,02/13/2026,Sofia,Aretes Pearl,EAR-PRL1,2,PENDING,95
ONLINE,ORD-00059,09/01/2024,Katherine,Velo Pearl,VEL-PRL6,1,PENDING,600
ONLINE,ORD-00059,09/01/2024,Katherine,Velo Classic,VEL-CLA8,2,CANCELLED,350
ONLINE,ORD-00060,07/28/2025,Paola,Cinturon Pearl,BELT-PRL4,1,CANCELLED,200
ONLINE,ORD-00060,07/28/2025,Paola,Vestido Isabella,DRSS-ISA9,1,CANCELLED,1900
ONLINE,ORD-00060,07/28/2025,Paola,Collar Pearl,COL-PRL4,3,PENDING,140
ONLINE,ORD-00060,07/28/2025,Paola,Velo Aurora,VEL-AUR8,1,PENDING,450
ONLINE,ORD-00060,07/28/2025,Paola,Guantes Satin,GLV-SAT2,2,PENDING,75
ONLINE,ORD-00061,11/16/2024,Laura,Aretes Crystal,EAR-CRY5,2,CANCELLED,85
ONLINE,ORD-00061,11/16/2024,Laura,Vestido Aurora,DRSS-AUR8,1,PENDING,1250
ONLINE,ORD-00062,10/20/2024,Emma,Collar Pearl,COL-PRL9,3,PENDING,160
ONLINE,ORD-00062,10/20/2024,Emma,Tiara Pearl,TIA-PRL7,2,CANCELLED,270
ONLINE,ORD-00063,04/06/2026,Bianca,Vestido Emilia,DRSS-EMI4,1,CANCELLED,1650
ONLINE,ORD-00063,04/06/2026,Bianca,Velo Classic,VEL-CLA4,2,PAID,390
ONLINE,ORD-00063,04/06/2026,Bianca,Vestido Sofia,DRSS-SOF6,1,REFUNDED,1600
ONLINE,ORD-00064,07/11/2025,Sarah,Velo Luna,VEL-LUN4,1,PAID,540
ONLINE,ORD-00064,07/11/2025,Sarah,Jacket Pearl,JCK-PRL9,1,CANCELLED,300
ONLINE,ORD-00064,07/11/2025,Sarah,Vestido Bella,DRSS-BEL2,1,REFUNDED,1500
ONLINE,ORD-00065,09/05/2024,Bianca,Vestido Valentina,DRSS-VAL5,1,CANCELLED,2100
ONLINE,ORD-00065,09/05/2024,Bianca,Vestido Luna,DRSS-LUN9,1,PAID,1650
ONLINE,ORD-00065,09/05/2024,Bianca,Vestido Camila,DRSS-CAM8,1,CANCELLED,1950
ONLINE,ORD-00065,09/05/2024,Bianca,Vestido Aurora,DRSS-AUR1,1,REFUNDED,1300
ONLINE,ORD-00065,09/05/2024,Bianca,Tiara Halo,TIA-HAL5,2,PAID,200
ONLINE,ORD-00066,01/20/2025,Valentina,Vestido Bella,DRSS-BEL2,1,PAID,1500
ONLINE,ORD-00066,01/20/2025,Valentina,Tiara Pearl,TIA-PRL1,1,REFUNDED,250
ONLINE,ORD-00066,01/20/2025,Valentina,Velo Luna,VEL-LUN1,2,CANCELLED,480
ONLINE,ORD-00067,02/06/2026,Isabella,Vestido Milena,DRSS-MIL4,1,CANCELLED,1250
ONLINE,ORD-00067,02/06/2026,Isabella,Vestido Isabella,DRSS-ISA5,1,REFUNDED,1750
ONLINE,ORD-00067,02/06/2026,Isabella,Vestido Isabella,DRSS-ISA7,1,REFUNDED,1850
ONLINE,ORD-00067,02/06/2026,Isabella,Vestido Bella,DRSS-BEL5,1,CANCELLED,1350
ONLINE,ORD-00067,02/06/2026,Isabella,Tiara Halo,TIA-HAL1,1,PAID,240
ONLINE,ORD-00068,09/30/2025,Savannah,Tiara Pearl,TIA-PRL4,2,PENDING,250
ONLINE,ORD-00068,09/30/2025,Savannah,Vestido Sofia,DRSS-SOF9,1,REFUNDED,1400
ONLINE,ORD-00068,09/30/2025,Savannah,Cinturon Crystal,BELT-CRY5,3,PENDING,200
ONLINE,ORD-00068,09/30/2025,Savannah,Guantes Satin,GLV-SAT4,2,PAID,95
ONLINE,ORD-00068,09/30/2025,Savannah,Vestido Sofia,DRSS-SOF2,1,PAID,1500
ONLINE,ORD-00069,10/25/2024,Maria,Guantes Satin,GLV-SAT7,1,PENDING,95
ONLINE,ORD-00069,10/25/2024,Maria,Bolero Lace,BOL-LAC3,1,PAID,280
ONLINE,ORD-00069,10/25/2024,Maria,Tiara Pearl,TIA-PRL1,1,PAID,290
ONLINE,ORD-00069,10/25/2024,Maria,Vestido Isabella,DRSS-ISA6,1,REFUNDED,1750
ONLINE,ORD-00070,07/02/2024,Hannah,Cinturon Crystal,BELT-CRY4,1,REFUNDED,180
ONLINE,ORD-00070,07/02/2024,Hannah,Anillo Halo,RNG-HAL5,2,PAID,90
ONLINE,ORD-00070,07/02/2024,Hannah,Bolero Lace,BOL-LAC8,3,REFUNDED,320
ONLINE,ORD-00070,07/02/2024,Hannah,Collar Pearl,COL-PRL2,1,PENDING,140
ONLINE,ORD-00070,07/02/2024,Hannah,Vestido Emilia,DRSS-EMI5,1,PENDING,1850
ONLINE,ORD-00071,04/07/2024,Claudia,Vestido Milena,DRSS-MIL4,1,PENDING,1200
ONLINE,ORD-00071,04/07/2024,Claudia,Velo Luna,VEL-LUN2,2,REFUNDED,500
ONLINE,ORD-00071,04/07/2024,Claudia,Velo Aurora,VEL-AUR3,2,PENDING,450
ONLINE,ORD-00071,04/07/2024,Claudia,Jacket Pearl,JCK-PRL6,2,PAID,360
ONLINE,ORD-00072,05/11/2024,Jessica,Vestido Grace,DRSS-GRA3,1,PENDING,2300
ONLINE,ORD-00072,05/11/2024,Jessica,Anillo Halo,RNG-HAL9,1,REFUNDED,70
ONLINE,ORD-00072,05/11/2024,Jessica,Vestido Camila,DRSS-CAM1,1,PAID,2050
ONLINE,ORD-00073,07/16/2024,Hannah,Anillo Halo,RNG-HAL7,1,PAID,30
ONLINE,ORD-00073,07/16/2024,Hannah,Velo Pearl,VEL-PRL2,1,CANCELLED,600
ONLINE,ORD-00073,07/16/2024,Hannah,Cinturon Pearl,BELT-PRL6,2,PENDING,200
ONLINE,ORD-00074,04/30/2025,Jessica,Vestido Milena,DRSS-MIL2,1,PAID,1300
ONLINE,ORD-00074,04/30/2025,Jessica,Aretes Crystal,EAR-CRY2,1,PENDING,65
ONLINE,ORD-00074,04/30/2025,Jessica,Vestido Grace,DRSS-GRA9,1,PAID,2300
ONLINE,ORD-00074,04/30/2025,Jessica,Vestido Milena,DRSS-MIL6,1,PENDING,1300
ONLINE,ORD-00074,04/30/2025,Jessica,Collar Pearl,COL-PRL6,2,CANCELLED,180
ONLINE,ORD-00075,02/07/2024,Megan,Vestido Sofia,DRSS-SOF6,1,PENDING,1600
ONLINE,ORD-00075,02/07/2024,Megan,Velo Classic,VEL-CLA3,2,PAID,390
ONLINE,ORD-00075,02/07/2024,Megan,Vestido Emilia,DRSS-EMI6,1,CANCELLED,1700
ONLINE,ORD-00076,02/09/2025,Jessica,Tiara Halo,TIA-HAL9,1,PAID,240
ONLINE,ORD-00076,02/09/2025,Jessica,Guantes Satin,GLV-SAT3,1,PENDING,75
ONLINE,ORD-00076,02/09/2025,Jessica,Velo Luna,VEL-LUN2,2,CANCELLED,500
ONLINE,ORD-00076,02/09/2025,Jessica,Tiara Halo,TIA-HAL7,2,PENDING,220
ONLINE,ORD-00077,02/21/2025,Rachel,Velo Luna,VEL-LUN4,1,PENDING,500
ONLINE,ORD-00077,02/21/2025,Rachel,Collar Luna,COL-LUN1,3,CANCELLED,120
ONLINE,ORD-00077,02/21/2025,Rachel,Vestido Camila,DRSS-CAM2,1,PAID,2050
ONLINE,ORD-00078,08/07/2025,Ariana,Vestido Isabella,DRSS-ISA8,1,PENDING,1800
ONLINE,ORD-00078,08/07/2025,Ariana,Vestido Isabella,DRSS-ISA4,1,REFUNDED,1700
ONLINE,ORD-00078,08/07/2025,Ariana,Tiara Halo,TIA-HAL6,1,CANCELLED,240
ONLINE,ORD-00078,08/07/2025,Ariana,Vestido Bella,DRSS-BEL1,1,PAID,1450
ONLINE,ORD-00079,04/12/2026,Savannah,Aretes Pearl,EAR-PRL6,1,REFUNDED,135
ONLINE,ORD-00079,04/12/2026,Savannah,Cinturon Crystal,BELT-CRY4,1,CANCELLED,160
ONLINE,ORD-00079,04/12/2026,Savannah,Tiara Halo,TIA-HAL1,1,PAID,220
ONLINE,ORD-00079,04/12/2026,Savannah,Jacket Pearl,JCK-PRL6,1,PENDING,300
ONLINE,ORD-00080,04/08/2026,Paola,Velo Pearl,VEL-PRL2,2,REFUNDED,640
ONLINE,ORD-00080,04/08/2026,Paola,Vestido Aurora,DRSS-AUR8,1,CANCELLED,1250
ONLINE,ORD-00080,04/08/2026,Paola,Bolero Lace,BOL-LAC6,1,PAID,300
ONLINE,ORD-00080,04/08/2026,Paola,Vestido Isabella,DRSS-ISA9,1,PENDING,1700
ONLINE,ORD-00081,01/28/2026,Carolina,Bolero Lace,BOL-LAC3,1,CANCELLED,260
ONLINE,ORD-00081,01/28/2026,Carolina,Vestido Isabella,DRSS-ISA1,1,PAID,1850
ONLINE,ORD-00081,01/28/2026,Carolina,Vestido Emilia,DRSS-EMI2,1,PENDING,1750
ONLINE,ORD-00081,01/28/2026,Carolina,Collar Pearl,COL-PRL8,1,REFUNDED,120
ONLINE,ORD-00082,07/02/2025,Daniela,Vestido Sofia,DRSS-SOF1,1,CANCELLED,1450
ONLINE,ORD-00082,07/02/2025,Daniela,Velo Luna,VEL-LUN8,2,PAID,500
ONLINE,ORD-00082,07/02/2025,Daniela,Collar Luna,COL-LUN2,2,REFUNDED,100
ONLINE,ORD-00082,07/02/2025,Daniela,Vestido Grace,DRSS-GRA5,1,PENDING,2400
ONLINE,ORD-00083,02/28/2024,Victoria,Vestido Sofia,DRSS-SOF3,1,PAID,1400
